"denominazione","tipologia","categoria","totale_unita","totale_bagni","totale_letti","indirizzo","frazione","cap","codice_istat_comune","comune","provincia","latitudine","longitudine","telefono","fax","sitoweb","email","periodi","servizi_generali","servizi_camera","prezzo_alta_stagione_o_unica","prezzo_bassa_stagione","foto1","foto2","foto3","foto4","foto5"
"LA GINESTRA","Case e appartamenti","","1","2","4","C.DA CICERONE","Cicerone","72017","074012","Ostuni","BR","","","3804333312","","www.casavacanzalaginestra.it","casavaclaginestra@libero.it","01/03/2015-30/10/2015#01/12/2015-31/12/2015","Cucina in uso comune-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino","Riscaldamento indipendente","supplemento-cambio-biancheria (30-50)#supplemento-pulizia-extra (30-50)#supplemento-pulizia-plurilocale (30-50)#ua-bilocale-due-sett (2000-3000)#ua-bilocale-mese (3000-4000)#ua-bilocale-sett (1120-2000)","supplemento-cambio-biancheria (-)#supplemento-pulizia-extra (-)#supplemento-pulizia-plurilocale (-)#ua-bilocale-due-sett (1800-3000)#ua-bilocale-mese (2500-3000)#ua-bilocale-sett (980-1500)","http://www.agenziapugliapromozione.it/portal/documents/ddl/967890/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/967890/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/967890/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/967890/fileFoto4",""
"GIULIMA'","Bed & breakfast","","6","4","10","VIA S.PERTINI","","71020","071042","Rocchetta Sant'Antonio","FG","","","3492934357","","","giuseppe.sciretta@gmail.com","","Ascensore-Bagno privato-Sala Tv","Aria condizionata indipendente-Riscaldamento indipendente-Tv satellitare-Riscaldamento","","","","","","",""
"MOTEL S16","Alberghi","3 stelle","8","8","17","SS 16 KM986","","73036","075051","Muro Leccese","LE","","","0836/423907","0836423907","www.petrolgrillarea.it","prenotazionis16@gmail.com","01/01/2015-31/12/2015","Ristorante-Bar-Punto ristoro-Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Riscaldamento","camera-doppia-bagno (50-80)#camera-quadrupla-bagno (90-120)#camera-singola-bagno (30-60)","camera-doppia-bagno (0-0)#camera-quadrupla-bagno (0-0)#camera-singola-bagno (0-0)","http://www.agenziapugliapromozione.it/portal/documents/ddl/881220/fileFoto1","","","",""
"LE CENTO STRETTE","Bed & breakfast","","2","1","6","S.P.  234  - KM. 20","","76123","110001","Andria","BT","41.06900192624117","16.259690488610886","348 6110667","","www.lecentostrette.it","agricolaspallucci@libero.it","01/01/2015-07/01/2015#12/03/2015-04/11/2015#07/12/2015-31/12/2015","Parco / Giardino-Accesso animali piccola taglia","Rscaldamento centralizzato-Riscaldamento","camera-doppia (70-100)#camera-doppia-persona (35-50)#camera-quadrupla (140-200)#camera-quadrupla-persona (35-50)#doppia-uso-singola (40-60)","camera-doppia (70-100)#camera-doppia-persona (35-50)#camera-quadrupla (140-200)#camera-quadrupla-persona (35-50)#doppia-uso-singola (-)","","","","",""
"TRULLI DEL CARMINE","Bed & breakfast","","3","3","9","VIA PARETONE","","74015","073013","Martina Franca","TA","","","340 7054880","","","leflora@yahoo.com","01/04/2015-30/09/2015","Reception 24h-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti-Camere / struttura per ospiti Disabili","Rscaldamento centralizzato-Riscaldamento","camera-doppia-bagno (90-125)#camera-quadrupla-bagno (90-155)#camera-tripla-bagno (90-145)","camera-doppia-bagno (70-110)#camera-quadrupla-bagno (75-115)#camera-tripla-bagno (70-120)","","","","",""
"MARCHIONE B&B","Bed & breakfast","","6","6","10","C.DA MARCHIONE","","70014","072019","Conversano","BA","","","","","","annabaldini2008@libero.it","","","","camera-doppia-bagno (55-100)#camera-singola-bagno (30-45)","camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"LA VISPA TERESA","Bed & breakfast","","1","1","2","VIA P.M. ACCOLTI GIL","","70014","072019","Conversano","BA","","","","","","teresadileo07@libero.it","","","","","","","","","",""
"MASQUERIDA","Bed & breakfast","","4","3","8","VIA DEI GERANI","","70016","072032","Noicattaro","BA","","","","","","","","","","","","","","","",""
"MAGLIULO GIUSEPPINA","Bed & breakfast","","1","1","2","VIA CITTÀ GIARDINO","","70016","072032","Noicattaro","BA","","","","","","","","","","","","","","","",""
"BERTINI LORENZA","Bed & breakfast","","2","2","6","VIA BRIGATA","","70011","072003","Alberobello","BA","","","3389997009","","www.bebdasantino.it","g.domy1973@libero.it","","Reception 24h-Bagno privato-Sala Tv","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Tv satellitare-Frigobar-Riscaldamento-Angolo cottura","","","","","","",""
"MONTE DEL SALE DI LACATENA AIDA","Bed & breakfast","","2","1","5","VIA PROV.LE","","70011","072003","Alberobello","BA","","","3298951397","","","bbmontedelsale@gmail.com","10/02/2015-31/10/2015","Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Tv","camera-doppia (50-60)#camera-tripla (60-70)","camera-doppia (40-50)#camera-tripla (50-60)","","","","",""
"TRULLI MILLE E UNA NOTTE","Bed & breakfast","","1","1","4","VIA G. PARINI","","70011","072003","Alberobello","BA","","","","","www.alberobellotrulliebenessere.it","info@alberobellotrulliebenessere.com","01/01/2015-06/01/2015#04/04/2015-06/04/2015#21/06/2015-23/09/2015#22/12/2015-31/12/2015","","","camera-quadrupla-bagno (40-135)","camera-quadrupla-bagno (0-0)","","","","",""
"B&B TRULLI COLAROSSA","Bed & breakfast","","6","3","10","C.DA COLAROSSA","","70011","072003","Alberobello","BA","","","","","www.trullicolarossa.it","info@trullicolarossa.it","","","","","","","","","",""
"GIOMI","Bed & breakfast","","2","1","4","VIA LIPPOLIS","","70011","072003","Alberobello","BA","","","","","","d.fumarola@inwind.it","","","","","","","","","",""
"HOTEL PARCO DEI PRINCIPI","Alberghi","3 stelle","16","17","35","S.S. 16  KM 683,40","","71122","071024","Foggia","FG","","","0881-617969  0881-618002","","www.parcodeiprincipiricevimenti.it","direzione@parcodeiprincipiricevimenti.it","01/01/2015-31/12/2015","Reception 24h-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia-Deposito bagagli","Aria condizionata indipendente-Riscaldamento indipendente-Tv satellitare-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (95-95)#camera-tripla-bagno (110-110)#doppia-uso-singola-bagno (85-85)","camera-doppia-bagno (0-0)#camera-tripla-bagno (0-0)#doppia-uso-singola-bagno (0-0)","","","","",""
"B&B NUMERO UNO","Bed & breakfast","","5","5","10","VIA DELLA LIBERT¿ ","","76011","110003","Bisceglie","BT","41.24785","16.493169999999964","","","","info@bebnumerouno.it","01/01/2015-20/01/2015#05/02/2015-20/02/2015#09/03/2015-03/05/2015#25/05/2015-20/09/2015#12/10/2015-08/11/2015#01/12/2015-31/12/2015","Bagno privato-Sala lettura","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Insonorizzazione-Frigobar-Riscaldamento","camera-doppia-bagno (80-80)#doppia-uso-singola (50-50)","camera-doppia-bagno (60-70)#doppia-uso-singola (-)","","","","",""
"ALAMARINA","Bed & breakfast","","6","6","10","VIA MARINA","","71010","071038","Peschici","FG","","","0884.962294","0884962294","www.alamarina.it","info@alamarina.it","01/04/2015-31/10/2015","Cassaforte / cassette di sicurezza-Bagno privato-Sala Tv-Parco / Giardino-Somministrazione alimenti-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv satellitare-Frigobar-Riscaldamento","doppia-uso-singola (30-120)","doppia-uso-singola (-)","","","","",""
"L'ANGOLO VERDE","Bed & breakfast","","5","5","10","DELLE MIMOSE","","74020","073014","Maruggio","TA","","","338 6000099","","bblangoloverdepiripiri.com","langoloverdesrl@libero.it","","Reception 24h-Deposito bagagli-Bagno privato-Sala Tv-Parco / Giardino-Somministrazione bevande","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar-Riscaldamento","","","","","","",""
"AL VECCHIO TRULLO","Bed & breakfast","","3","2","9","LOCALITA' MASSERIA PICCINNA","","74020","073014","Maruggio","TA","40.311302026218016","17.55570573161617","3287339369","","www.alvecchiotrullo.it","alvecchiotrullo@libero.it","01/01/2015-07/01/2015#01/04/2015-31/10/2015#01/12/2015-31/12/2015","Deposito bagagli-Cucina in uso comune-Bagno privato-Sala lettura-Parco / Giardino-Somministrazione bevande-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Riscaldamento-Telefono-Angolo cottura","camera-tripla-bagno-persona (30-45)#camera-tripla-persona (30-45)","camera-tripla-bagno-persona (20-35)#camera-tripla-persona (20-35)","http://www.agenziapugliapromozione.it/portal/documents/ddl/525239/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/525239/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/525239/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/525239/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/525239/fileFoto5"
"VILLA CLAUDIA","Bed & breakfast","","3","3","9","C.DA BELVEDERE","","71010","071025","Ischitella","FG","","","0884-995225","","","decorandoclaudia@libero.it","","Camere fumatori-Bagno privato-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento-Angolo cottura","","","","","","",""
"LA CASETTA","Bed & breakfast","","2","1","5","MALTA","","74020","073014","Maruggio","TA","40.3198461","17.571679899999936","099 9716440 - 329 6364804","0999716440","","info@lacasettamaruggio.it","15/04/2015-31/12/2015","Cassaforte / cassette di sicurezza-Sala Tv-Sala lettura","Aria condizionata indipendente-Tv satellitare","camera-doppia (50-80)#camera-doppia-persona (25-40)#camera-tripla (75-120)#camera-tripla-persona (25-40)#doppia-uso-singola (25-40)","camera-doppia (50-80)#camera-doppia-persona (25-40)#camera-tripla (75-120)#camera-tripla-persona (25-40)#doppia-uso-singola (-)","","","","",""
"NU SUENNU","Affittacamere","","4","4","9","VIA UMBERTO I°","","74020","073014","Maruggio","TA","","","3347151147","","www.nusuennu.it","nusuennu@gmail.com","","Bagno privato-Sala lettura-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv satellitare-Frigobar-Riscaldamento","camera-doppia-bagno (-100)#camera-singola-bagno (50-60)","camera-doppia-bagno (-70)#camera-singola-bagno (35-45)","","","","",""
"LE TRE CARAVELLE","Case e appartamenti","","3","3","12","VIA SARPI","","72017","074012","Ostuni","BR","","","0831/866080","","www.letre-caravelle.com","letre.caravelle@libero.it","01/01/2015-31/12/2015","Reception 24h-Cassaforte / cassette di sicurezza-Bagno privato-Sala lettura","Tv-Frigobar-Riscaldamento-Angolo cottura-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza","supplemento-pulizia-extra (30-40)#ua-bilocale-due-sett (600-2000)","supplemento-pulizia-extra (-)#ua-bilocale-due-sett (420-1600)","","","","",""
"VILLA BOSCHETTO ","Bed & breakfast","","2","2","6","C.DA MIRANTE ","","74020","073014","Maruggio","TA","","","338 5255941","","http://www.villaboschetto.it","info@villaboschetto.it","01/01/2015-07/01/2015#15/03/2015-31/10/2015#01/12/2015-31/12/2015","Bagno privato-Parco / Giardino","Aria condizionata indipendente-Frigobar-Riscaldamento","camera-doppia-bagno (110-120)#camera-quadrupla-bagno (220-240)","camera-doppia-bagno (70-90)#camera-quadrupla-bagno (140-180)","http://www.agenziapugliapromozione.it/portal/documents/ddl/953963/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/953963/fileFoto2","","",""
"CASA SOLENTO","Affittacamere","","4","3","7","C.DA VENTO","","74020","073014","Maruggio","TA","40.29963466374931","17.55401593993679","3897876084","","WWW.CASASOLENTO.COM","info@casasolento.com","01/01/2015-31/12/2015","Cucina in uso comune-Sala lettura-Parco / Giardino-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Riscaldamento indipendente","camera-doppia (16-120)#camera-doppia-2 (16-120)#camera-singola-2 (14-110)","camera-doppia (0-0)#camera-doppia-2 (0-0)#camera-singola-2 (0-0)","http://www.agenziapugliapromozione.it/portal/documents/ddl/1005491/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/1005491/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/1005491/fileFoto3","","http://www.agenziapugliapromozione.it/portal/documents/ddl/1005491/fileFoto5"
"CASA MARIA SOFIA BB 001","Bed & breakfast","","3","2","8","VIA VENEZIA","","74121","073027","Taranto","TA","","","347.7081558 - 368. 989606","","","casamariasofia@virgilio.it","01/01/2015-09/01/2015#21/03/2015-30/09/2015#31/10/2015-31/12/2015","Ascensore-Deposito bagagli-Sala Tv-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Rscaldamento centralizzato-Tv-Tv satellitare-Riscaldamento","camera-doppia (40-60)#camera-quadrupla (80-120)#doppia-uso-singola (25-30)","camera-doppia (40-60)#camera-quadrupla (80-120)#doppia-uso-singola (0-0)","","","","",""
"PALAZZO SAN PROCOPIO","Affittacamere","","5","5","11","VIA MONTEGIRONE","","71023","071007","Bovino","FG","","","0881-961926","","","info@residenzaleginestre.it","","","","camera-doppia (20-)#camera-doppia-bagno (60-120)#camera-singola-bagno (30-60)","camera-doppia (-)#camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"CASA DECO'","Affittacamere","","3","3","9","VIA NITTI","Taranto","74123","073027","Taranto","TA","","","336258080","","www.casadeco.it","info@casadeco.it","01/01/2015-31/12/2015","Camere fumatori-Deposito bagagli-Bagno privato-Sala Tv-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Rscaldamento centralizzato-Tv-Frigobar-Riscaldamento","camera-doppia-bagno (65-80)#camera-quadrupla-bagno (110-115)#camera-tripla-bagno (85-90)#supplemento-posto-letto-agg (20-25)","camera-doppia-bagno (50-75)#camera-quadrupla-bagno (95-110)#camera-tripla-bagno (80-85)#supplemento-posto-letto-agg (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/960284/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/960284/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/960284/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/960284/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/960284/fileFoto5"
"VIA GALLIPOLI","Bed & breakfast","","6","6","10","VIA GALLIPOLI","","73011","075003","Alezio","LE","40.05991179999999","18.047708199999988","3497822589","","","infoviagallipoli@gmail.com","","Reception 24h-Deposito bagagli-Bagno privato-Sala Tv-Sala lettura-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Tv-Insonorizzazione-Frigobar-Riscaldamento-Aria condizionata indipendente-Riscaldamento indipendente","camera-doppia-bagno (50-160)","camera-doppia-bagno (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/1132837/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/1132837/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/1132837/fileFoto3","",""
"SANTANGELO HOUSE","Affittacamere","","5","5","15","VIA PULSANO KM1","","71037","071033","Monte Sant'Angelo","FG","","","0884-564718 0884-563107","","www.santangelohouse.it","santangelohouse@live.it","01/01/2015-31/12/2015","Camere fumatori-Ascensore-Bagno privato-Accesso animali piccola taglia","Rscaldamento centralizzato-Tv-Riscaldamento","camera-tripla-bagno (50-90)#supplemento-posto-letto-agg (15-25)","camera-tripla-bagno (40-80)#supplemento-posto-letto-agg (-)","","","","",""
"LA CASETTA DI MARIA","Bed & breakfast","","2","2","4","VIA VECCHIE SERRE (CONTRADA CROCE)","","73020","075018","Castrignano de' Greci","LE","","","","","","info@lacasettadimaria.it","16/02/2015-30/09/2015#20/11/2015-31/12/2015","Camere fumatori-Cucina in uso comune-Bagno privato-Parco / Giardino","Tv-Idromassaggio-Angolo cottura","camera-doppia-bagno (60-70)#camera-doppia-bagno-persona (30-35)","camera-doppia-bagno (40-50)#camera-doppia-bagno-persona (20-25)","","","","",""
"GLI AVI 2","Bed & breakfast","","1","1","3","VIA SANNICANDRO","","70010","072015","Casamassima","BA","40.9563891","16.915315400000054","3383624303","","info@bebcasamassima.com","info@bebcasamassima.com","01/01/2015-31/01/2015#01/03/2015-31/03/2015#01/05/2015-30/09/2015#01/11/2015-25/12/2015","Bagno privato-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Tv satellitare-Frigobar-Angolo cottura","camera-tripla-bagno (35-75)#doppia-uso-singola (35-40)","camera-tripla-bagno (35-75)#doppia-uso-singola (-)","","","","",""
"B&B PALESE","Bed & breakfast","","3","3","9","VIA GIOVANNI BELLARDI","palese","70128","072006","Bari","BA","","","3331997477/0804035702/3473570830","","www.bedandbreakfastpalese.it.gg","bbpalese@hotmail.it","01/01/2015-16/01/2015#17/02/2015-02/10/2015#06/12/2015-31/12/2015","Reception 24h-Cucina in uso comune-Bagno privato-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Frigobar-Riscaldamento-Angolo cottura","camera-doppia (50-70)#camera-quadrupla-bagno (80-120)#camera-tripla (70-100)#doppia-uso-singola (30-50)","camera-doppia (0-0)#camera-quadrupla-bagno (0-0)#camera-tripla (0-0)#doppia-uso-singola (-)","","","","",""
"VILLA DELL'ULIVO","Bed & breakfast","","3","3","6","C.DA SERENA","","74020","073014","Maruggio","TA","","","329 8933856","","","villadellulivo1@gmail.com","","","","","","","","","",""
"SAN NICANDRO","Bed & breakfast","","1","1","4","IV MERCATO","","71015","071049","San Nicandro Garganico","FG","","","3290441691","","www.bbsannicandro.com","monica.sersale@gmail.com","01/07/2015-31/08/2015","Accesso animali piccola taglia","Riscaldamento indipendente-Tv-Frigobar-Angolo cottura","camera-quadrupla-bagno (30-70)#camera-singola-bagno-persona (30-40)","camera-quadrupla-bagno (30-60)#camera-singola-bagno-persona (30-30)","http://www.agenziapugliapromozione.it/portal/documents/ddl/900582/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/900582/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/900582/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/900582/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/900582/fileFoto5"
"ACQUACHIARA","Bed & breakfast","","3","3","10","VIA CILEA","","73010","075097","Porto Cesareo","LE","40.26234891291164","17.895870674591038","3334817086","","www.bbacquachiara.it","acquachiara@live.it","01/01/2015-31/12/2015","Bagno privato-Accesso animali piccola taglia","Aria condizionata indipendente-Riscaldamento indipendente-Tv-Frigobar","camera-doppia-bagno (90-100)","camera-doppia-bagno (30-40)","","","","",""
"RESIDENZA PICCOLO ULIVETO","Case e appartamenti","","4","4","11","VALLE DELLE NOCI","San Menaio","71010","071059","Vico del Gargano","FG","","","3886975777","","www.piccolouliveto-gargano.it","info@piccolouliveto-gargano.it","01/06/2015-30/09/2015","Bagno privato-Parco / Giardino-Accesso animali piccola taglia-Camere / struttura per ospiti Disabili","Aria condizionata indipendente-Tv satellitare-Riscaldamento-Angolo cottura","biancheria (-15)#supplemento-cambio-biancheria (10-10)#supplemento-pulizia-bilocale (20-40)#supplemento-pulizia-extra (20-50)#supplemento-pulizia-monolocale (15-30)#supplemento-pulizia-plurilocale (25-50)#ua-bilocale-due-sett (1200-1400)#ua-bilocale-mese (2200-2400)#ua-bilocale-sett (600-750)#ua-monolocale-due-sett (900-1100)#ua-monolocale-mese (1800-2000)#ua-monolocale-sett (450-550)#ua-plurilocale-due-sett (1500-1800)#ua-plurilocale-mese (3000-3200)#ua-plurilocale-sett (800-950)","biancheria (-)#supplemento-cambio-biancheria (-)#supplemento-pulizia-bilocale (-)#supplemento-pulizia-extra (-)#supplemento-pulizia-monolocale (-)#supplemento-pulizia-plurilocale (-)#ua-bilocale-due-sett (0-0)#ua-bilocale-mese (0-0)#ua-bilocale-sett (0-0)#ua-monolocale-due-sett (0-0)#ua-monolocale-mese (0-0)#ua-monolocale-sett (0-0)#ua-plurilocale-due-sett (0-0)#ua-plurilocale-mese (0-0)#ua-plurilocale-sett (0-0)","http://www.agenziapugliapromozione.it/portal/documents/ddl/885949/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/885949/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/885949/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/885949/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/885949/fileFoto5"
"TENUTA FLORA MARIA","Alloggi agrituristici","","9","6","20","S.P. LEVERANO - PORTO CESAREO KM. 3","","73045","075037","Leverano","LE","40.2858344694759","17.96513478178713","3351341363","","www.tenutafloramaria.it","info@tenutafloramaria.it","01/01/2015-31/12/2015","Ristorante-Bar-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Camere / struttura per ospiti disabili","Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Frigobar-Angolo cottura","camera-doppia-bagno (90-180)#camera-tripla-bagno (120-220)#ua-bilocale-giorno (130-230)","camera-doppia-bagno (60-110)#camera-tripla-bagno (80-120)#ua-bilocale-giorno (70-130)","http://www.agenziapugliapromozione.it/portal/documents/ddl/600850/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/600850/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/600850/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/600850/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/600850/fileFoto5"
"ANTICO MURISCIU","Bed & breakfast","","2","1","6","VIA LUIGI SCHIFANO","","73030","075096","Castro","LE","","","","","","am.castro.le@gmail.com","01/03/2015-31/10/2015","Deposito bagagli-Somministrazione bevande","Rscaldamento centralizzato-Frigobar","camera-quadrupla-persona (10-50)","camera-quadrupla-persona (0-0)","","","","",""
"PALAZZO DE MATTEIS","Bed & breakfast","","2","2","4","CORSO GRAMSCI","","71016","071051","San Severo","FG","41.68709250808336","15.378306428241785","328-5514639","","","luisatis@hotmail.it","07/04/2015-31/12/2015","Camere fumatori-Cucina in uso comune-Bagno privato-Sala lettura-Accesso animali piccola taglia","Rscaldamento centralizzato-Tv-Frigobar-Riscaldamento","camera-doppia-bagno (60-60)#camera-doppia-bagno-persona (30-30)#camera-singola-bagno-persona (45-45)#doppia-uso-singola (50-50)","camera-doppia-bagno (60-60)#camera-doppia-bagno-persona (30-30)#camera-singola-bagno-persona (45-45)#doppia-uso-singola (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/921881/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/921881/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/921881/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/921881/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/921881/fileFoto5"
"ASKO","Bed & breakfast","","4","3","8","PROV.LE LECCE - VERNOLE","","73023","075038","Lizzanello","LE","","","0832623978","","www.bbasko.it","info@bbasko.it","","Deposito bagagli-Cucina in uso comune-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Tv-Riscaldamento-Telefono","","","http://www.agenziapugliapromozione.it/portal/documents/ddl/867177/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/867177/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/867177/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/867177/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/867177/fileFoto5"
"LA TAVERNETTA","Bed & breakfast","","2","2","10","VIA SANT'ANTONIO","","73026","075043","Melendugno","LE","","","","","www.latavernetta.com","beblatavernetta@libero.it","","","","","","","","","",""
"LE GINESTRE BEAUTY E WELLNESS","Alberghi","4 stelle","47","53","142","LOCALIT¿ MANDRIONE  S.P. 52/BIS UMBRA MARE","","71019","071060","Vieste","FG","","","0884.707669","","www.hotelginestre.it","info@hotelginestre.it","01/04/2015-30/09/2015","Ristorante-Bar-Reception 24h-Ascensore-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Quotidiani","Aria condizionata centralizzata-Rscaldamento centralizzato-Cassafforte / cassetta di sicurezza-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (99-499)#camera-quadrupla-bagno (149-499)#camera-tripla-bagno (119-499)#doppia-uso-singola (99-499)#jr-suite-bagno (199-499)#mezza-pensione-bagno (200-499)#pasto-cena (25-50)#pasto-pranzo (25-50)#pensione-completa-bagno (300-499)#suite-bagno (219-499)#ua-bilocale (119-499)","camera-doppia-bagno (39-99)#camera-quadrupla-bagno (99-149)#camera-tripla-bagno (59-119)#doppia-uso-singola (39-89)#jr-suite-bagno (149-199)#mezza-pensione-bagno (99-199)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (117-217)#suite-bagno (169-219)#ua-bilocale (59-149)","","","","",""
"AJE'RA","Bed & breakfast","","1","1","2","VIA PRINCIPE AMEDEO","","73010","075076","Soleto","LE","","","","","","pmanuela@hotmail.com","","Bagno privato-Parco / Giardino","Aria condizionata indipendente-Frigobar","","","","","","",""
"TORRE DI SPECCHIO","Bed & breakfast","","3","3","5","STRADA TORRE DI SPECCHIO","","70100","072006","Bari","BA","","","","","","torredispecchio@gmail.com","","","","camera-doppia-bagno (50-80)#camera-singola-bagno (25-40)","camera-doppia-bagno (-)#camera-singola-bagno (-)","","","","",""
"MACURANO B&B","Bed & breakfast","","5","5","10","VIA MACURANO","","73031","075002","Alessano","LE","","","0833/524287","","www.masseriamacurano.com","luciano.lugli@alice.it","","","","","","","","","",""
"VIA VENETO","Bed & breakfast","","1","1","4","VIA V.VENETO","","","075021","Collepasso","LE","","","3497845946","","novembriniluigi-facebook","novembriniluigi@gmail.com","","","","","","","","","",""
"CASA GUARINI","Bed & breakfast","","4","4","6","VIA FERROVIA","","73022","075023","Corigliano d'Otranto","LE","","","0836/329933","","www.casaguarini.com","welcome@casaguarini.com","01/03/2015-31/10/2015","Deposito bagagli-Bagno privato-Sala lettura-Somministrazione bevande-Somministrazione alimenti","Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento","camera-doppia-bagno (45-75)#camera-singola-bagno (20-45)#supplemento-aria-condizionata (0-5)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#supplemento-aria-condizionata (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/979311/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/979311/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/979311/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/979311/fileFoto4","http://www.agenziapugliapromozione.it/portal/documents/ddl/979311/fileFoto5"
"VILLA CIVETTA","Bed & breakfast","","3","3","6","CONTRADA SAN BIAGIO","","73020","075045","Melpignano","LE","","","0836/483243","","www.villacivetta.it","info@villacivetta.it","01/04/2015-15/11/2015","Cucina in uso comune-Bagno privato-Parco / Giardino-Accesso animali piccola taglia","Aria condizionata indipendente-Tv-Riscaldamento","camera-doppia-bagno (30-55)#doppia-uso-singola (38-70)","camera-doppia-bagno (0-0)#doppia-uso-singola (-)","","","","",""
"ORIENS","Bed & breakfast","","2","2","4","VIA SFORZA","","73028","075057","Otranto","LE","","","","","","Beboriens@libero.it","","","","","","","","","",""
